workload,hr_10,hr_20,hr_30,hr_40,hr_50,hr_60,hr_70,hr_80,hr_90,hr_100,write_ratio,cold_miss_rate
w03,7.241728,109891.375104,327373.63968,490450.477056,610618.617856,764377.214976,799952.162816,812761.264128,822777.909248,893555.134464,0.24530386503318058,0.12917582100881508
w21,83779.014656,129951.760384,163078.258688,180004.16768,197300.924416,205740.675072,210028.146688,220973.559808,244318.6176,248366.424064,0.023669542314387365,0.08944384815733467
w52,0.0,0.106496,0.319488,1.368064,12.648448,217.092096,387.91168,638.312448,1392.779264,5782.114304,0.37167638617274307,0.044834234982914924
w12,0.0,0.0,0.004096,0.008192,0.012288,0.02048,0.04096,0.667648,353.886208,3704.926208,0.5442490153393337,0.01925853428037723
w13,362.504192,503.836672,668.44672,894.40256,1160.27392,1669.705728,2994.245632,17165.082624,33668.947968,159790.473216,0.3749553272563638,0.14271685775483958
w50,2295.578624,2326.58944,2353.065984,2422.472704,4362.6496,6634.319872,11097.06752,36853.43232,36893.601792,39181.934592,0.04748998636501973,0.12201216888473759
w48,1275.981824,10931.662848,85962.30144,140350.345216,141162.76224,141619.228672,141717.999616,141907.075072,142436.282368,146909.421568,0.03902884917501817,0.10405327976964063
w27,110.030848,215.1424,356.548608,560.734208,887.488512,1332.498432,2115.477504,3754.25024,8830.726144,40777.035776,0.21207005501486925,0.14447047808511593
w45,144.195584,165.462016,184.516608,194.187264,208.150528,272.572416,431.202304,526.598144,684.683264,1430.75328,0.9966325317183491,0.3623275344931014
w07,0.008192,6.807552,112.726016,1119.096832,3067.994112,7095.021568,16561.577984,28719.65696,69926.33856,134998.204416,0.15668877224221914,0.15879520516741297
w103,0.008192,76.320768,351.776768,616.689664,960.24576,1243.865088,1548.570624,1865.015296,2887.974912,6148.591616,0.6886143897222559,0.3322853785712843
w51,0.053248,8.0896,9.900032,11.34592,12.845056,14.979072,20.082688,1308.622848,3779.969024,17744.265216,0.15327861555455952,0.05581729344496786
w10,101829.357568,285255.479296,378738.638848,400740.745216,470962.638848,473143.443456,483274.534912,483353.821184,484844.048384,527673.147392,0.10110206063256862,0.10322541550980457
w22,122.478592,237.682688,48513.212416,48547.500032,48885.506048,51870.035968,54672.543744,54687.936512,56640.626688,66421.0432,0.14375257965012433,0.3222892924948385
w89,0.0,0.02048,0.520192,3.82976,4.878336,125.816832,1066.876928,1626.570752,2919.370752,10447.527936,0.5720165624439884,0.20488792159156388
w99,275.365888,17539.702784,17542.656,17611.866112,17718.960128,17729.59744,17731.956736,17844.109312,18060.972032,18186.530816,0.10005273169849373,0.15063246375917816
w57,0.004096,0.057344,0.442368,2.220032,6.053888,13.942784,56.160256,537.427968,966.668288,4041.080832,0.6095421666381796,0.018854269321894986
w79,0.0,0.0,0.0,6.344704,70.475776,126.713856,175.3088,227.422208,314.441728,30883.913728,0.4451050432670602,0.10119624568516676
w72,0.0,0.126976,16.666624,77.533184,109.162496,145.661952,444.698624,795.992064,1274.38848,3128.061952,0.5448937454922902,0.03356011547973565
w04,1.142784,2.666496,6042.68544,370888.400896,479759.07328,601422.798848,772188.717056,794964.41856,806613.499904,871882.305536,0.26175332157573505,0.12959026666339596
w47,314.015744,324.755456,328.572928,390.815744,483.51232,553.209856,581.107712,592.416768,683.839488,1295.241216,0.997943010866796,0.5403198455558165
w69,129.449984,228.859904,294.862848,394.129408,561.733632,822.0672,1320.976384,2116.550656,4578.623488,18001.7152,0.24171369433408182,0.10571419499139542
w101,13.451264,5132.345344,9506.03776,11635.961856,12309.85216,12900.757504,13591.16288,14738.907136,16799.010816,22151.630848,0.962635866215805,0.09759074564827745
